WardName,WardCode,Wardcode,PctSharedOwnership2011,PctRentFree2011,Candidate,InnerOuter,x,y,AvgGCSE2011,UnauthAbsenceSchools11
City of London,00AA,E09000001,0.296465222,4.994298746,Boris,Inner,532479.7201,181272.0,363.0909091,0.436792453
Barking and Dagenham - Abbey,00ABFX,E05000026,1.115485564,0.853018373,Ken,Outer,544218.2356,184361.398,335.3592593,1.477417262
Barking and Dagenham - Alibon,00ABFY,E05000027,1.460589272,0.75547721,Ken,Outer,549061.5648,185152.6226,333.1115702,1.454398148
Barking and Dagenham - Becontree,00ABFZ,E05000028,2.197802198,1.543137713,Ken,Outer,546997.5893,186088.9148,327.0138554,1.509858388
Barking and Dagenham - Chadwell Heath,00ABGA,E05000029,0.532724505,1.141552511,Ken,Outer,548358.8573,189491.71,339.7823077,1.538590604
Barking and Dagenham - Eastbrook,00ABGB,E05000030,0.514535632,0.746076666,Boris,Outer,550788.7056,186098.255,329.5134752,1.055846917
Barking and Dagenham - Eastbury,00ABGC,E05000031,0.842696629,0.561797753,Ken,Outer,546140.2395,183987.5651,349.0125984,1.399894292
Barking and Dagenham - Gascoigne,00ABGD,E05000032,2.863293864,1.119483315,Ken,Outer,544595.7531,183561.6805,330.7742424,1.370996348
Barking and Dagenham - Goresbrook,00ABGE,E05000033,2.819237148,0.971333807,Ken,Outer,548211.3194,184071.8051,331.8974843,1.411272321
Barking and Dagenham - Heath,00ABGF,E05000034,0.78758397,0.972897846,Ken,Outer,549443.3992,186491.6598,326.0090226,1.240289855
Barking and Dagenham - Longbridge,00ABGG,E05000035,0.376344086,1.26344086,Ken,Outer,545482.291,184854.9817,352.2083871,0.944707924
Barking and Dagenham - Mayesbrook,00ABGH,E05000036,0.762970498,1.195320448,Ken,Outer,547051.1721,184922.1665,339.2007092,1.302548167
Barking and Dagenham - Parsloes,00ABGJ,E05000037,1.420678769,0.868192581,Ken,Outer,548125.0474,185640.9439,332.0710526,1.342580214
Barking and Dagenham - River,00ABGK,E05000038,0.806248425,0.957420005,Ken,Outer,549478.9664,182985.1929,337.1648,1.476708259
Barking and Dagenham - Thames,00ABGL,E05000039,1.845764855,0.733249052,Ken,Outer,547048.4076,182800.0916,328.8460784,1.101642229
Barking and Dagenham - Valence,00ABGM,E05000040,0.578034682,0.945874934,Ken,Outer,548034.7403,186794.5431,339.7527559,1.532351097
Barking and Dagenham - Village,00ABGN,E05000041,1.537418042,0.881754465,Ken,Outer,550331.2168,184463.876,316.9772358,1.682974684
Barking and Dagenham - Whalebone,00ABGP,E05000042,1.183580962,0.679929489,Ken,Outer,548566.5771,187605.3514,344.6807018,1.295822281
Barnet - Brunswick Park,00ACFX,E05000043,1.468889256,0.891236178,Boris,Outer,528502.7023,193825.6759,366.5830097,0.587897804
Barnet - Burnt Oak,00ACFY,E05000044,2.925531915,1.439299124,Ken,Outer,520628.0564,190842.4731,342.8168627,1.098793042
Barnet - Childs Hill,00ACFZ,E05000045,0.689565444,2.146760343,Boris,Outer,524674.2165,186661.0355,369.4256098,1.014362057
Barnet - Colindale,00ACGA,E05000046,2.098569157,1.319554849,Ken,Outer,521622.3764,189812.8347,341.899422,1.292735043
Barnet - Coppetts,00ACGB,E05000047,0.59009787,2.504317789,Boris,Outer,528069.6289,191881.7969,368.2994286,0.92642015
Barnet - East Barnet,00ACGC,E05000048,0.643086817,1.22492727,Boris,Outer,527336.6424,195814.7086,350.6362573,0.615518962
Barnet - East Finchley,00ACGD,E05000049,0.842992624,1.354809574,Ken,Outer,526933.5347,190056.0292,351.0095941,1.122244094
Barnet - Edgware,00ACGE,E05000050,1.203812072,1.605082762,Boris,Outer,519030.7092,193347.2175,356.4011628,0.919730942
Barnet - Finchley Church End,00ACGF,E05000051,0.190870049,2.163193892,Boris,Outer,524694.2819,190136.866,369.0480392,0.865737952
Barnet - Garden Suburb,00ACGG,E05000052,0.22296544,2.134097786,Boris,Outer,525971.5262,188465.0597,379.5219512,0.764852608
Barnet - Golders Green,00ACGH,E05000053,0.698732532,1.803704907,Boris,Outer,523950.5604,187724.1408,362.8547445,1.124675325
Barnet - Hale,00ACGJ,E05000054,0.420371867,1.196443007,Boris,Outer,520761.9603,193358.9297,348.3361257,0.900360036
Barnet - Hendon,00ACGK,E05000055,0.473797559,1.83776023,Boris,Outer,523098.6414,189519.7094,353.9710744,1.117798595
Barnet - High Barnet,00ACGL,E05000056,1.040391677,1.484088127,Boris,Outer,523744.4281,196638.5677,380.9744186,0.355003499
Barnet - Mill Hill,00ACGM,E05000057,0.378181818,1.992727273,Boris,Outer,523018.5918,192048.4129,359.8989305,0.925159236
Barnet - Oakleigh,00ACGN,E05000058,0.437459494,1.328580687,Boris,Outer,526697.5418,194421.8099,368.562585,0.708569704
Barnet - Totteridge,00ACGP,E05000059,0.653594771,1.28998968,Boris,Outer,524603.368,193868.7481,378.5144444,0.556803456
Barnet - Underhill,00ACGQ,E05000060,1.459390863,1.269035533,Boris,Outer,523354.9945,195438.6703,337.1758065,1.16280285
Barnet - West Finchley,00ACGR,E05000061,0.47868362,1.585639491,Boris,Outer,525618.3262,191370.6571,376.762037,0.963434493
Barnet - West Hendon,00ACGS,E05000062,0.771208226,1.542416452,Boris,Outer,522370.6494,188083.5259,351.9962025,1.121984216
Barnet - Woodhouse,00ACGT,E05000063,0.868809731,1.404575731,Boris,Outer,526689.4075,191811.2657,358.8798883,0.918152866
Bexley - Barnehurst,00ADGA,E05000064,0.259862981,0.779588944,Boris,Outer,550294.634,175401.0493,365.0755556,0.906533436
Bexley - Belvedere,00ADGB,E05000065,0.662388739,1.014282757,Boris,Outer,549389.3309,179197.6978,312.0006993,1.377339004
Bexley - Blackfen and Lamorbey,00ADGC,E05000066,0.601250601,0.817700818,Boris,Outer,545457.531,173911.5252,363.6834783,0.779772889
Bexley - Blendon and Penhill,00ADGD,E05000067,0.331047529,0.520217546,Boris,Outer,547213.6434,174018.2326,354.7342657,0.798532495
Bexley - Brampton,00ADGE,E05000068,0.240326845,0.720980534,Boris,Outer,548686.8496,176531.1505,366.3496183,0.709596774
Bexley - Christchurch,00ADGF,E05000069,0.268997983,0.986325936,Boris,Outer,548850.8741,175079.644,374.9862595,0.958012821
Bexley - Colyers,00ADGG,E05000070,1.264964988,0.880957759,Boris,Outer,550847.338,176792.5793,341.575817,1.254875717
Bexley - Crayford,00ADGH,E05000071,1.349356947,0.801180687,Boris,Outer,551698.5002,174939.7707,336.3927632,1.140632754
Bexley - Cray Meadows,00ADGJ,E05000072,1.338432122,0.892288082,Boris,Outer,548431.9629,171550.3894,351.7490566,1.055349183
Bexley - Danson Park,00ADGK,E05000073,1.033011453,0.853357287,Boris,Outer,547257.9774,175253.7535,356.297037,1.042647059
Bexley - East Wickham,00ADGL,E05000074,0.736342043,0.712589074,Boris,Outer,545756.7351,176435.8758,345.684375,1.277105832
Bexley - Erith,00ADGM,E05000075,3.16751269,1.035532995,Boris,Outer,550567.8884,178609.005,337.0985816,1.486937223
Bexley - Falconwood and Welling,00ADGN,E05000076,0.655817343,0.728685936,Boris,Outer,545743.5529,175320.4782,344.3028169,0.950951087
Bexley - Lesnes Abbey,00ADGP,E05000077,0.828481863,0.604567846,Boris,Outer,547990.3088,178300.1441,335.1672619,1.043154574
Bexley - Longlands,00ADGQ,E05000078,0.491071429,0.714285714,Boris,Outer,545665.4793,171881.8606,373.8268041,0.752079395
Bexley - North End,00ADGR,E05000079,0.496652991,0.863744332,Ken,Outer,552720.3833,176967.4308,321.818705,1.540409483
Bexley - Northumberland Heath,00ADGS,E05000080,0.472284365,0.94456873,Boris,Outer,549566.9473,177294.7505,350.0323529,1.036053985
Bexley - St. Mary's,00ADGT,E05000081,0.233100233,0.769230769,Boris,Outer,549285.6067,173361.4697,376.2841121,0.520816327
Bexley - St. Michael's,00ADGU,E05000082,0.600901352,0.650976465,Boris,Outer,547235.1854,176743.0051,351.5967213,0.78896028
Bexley - Sidcup,00ADGW,E05000083,1.157098353,0.801068091,Boris,Outer,546467.7583,172659.2165,370.0724409,0.730438842
Bexley - Thamesmead East,00ADGX,E05000084,0.437541019,1.1157296,Ken,Outer,548306.8713,180249.1159,347.809697,1.395528669
Brent - Alperton,00AEGJ,E05000085,1.203079885,1.539942252,Ken,Outer,518373.8467,183773.4798,332.3626298,1.066550926
Brent - Barnhill,00AEGK,E05000086,2.126872573,1.424079896,Ken,Outer,519339.1991,187207.7368,355.0306818,0.93946941
